bvets vehicle performance table 1.00
#,S1a,S1,S2,S3,S4,S5,S6,S7,P1,P2,P3,P4,P5,P6,WF1,WF2,WF3,WF4
#a,18376.8,23284.8,22900,19800,16200,11200,8750,5050,36900,17300,12000,9870,7210,6220,5970,4330,6840,8726
#b,-52,-40.42,-32.9,-23.8,-15.5,-7.33,-2,5,-37.5,-9.43,2.69,9.95,16.9,20.6,24.1,31.4,30,29.5
#c,-183.4,-290,-321,-319,-300,-233,-200,-113,-327,-180,-128,-111,-72.8,-58.4,-25,61,58,69
0,170,286.0712519,375.0486322,512.9327731,745.1612903,1294.967258,4175,4937,657,1654.57052,11872,9759,7137.2,6161.6,5945,4391,6898,8795
2,156.9111111,258.9108911,335.1604585,448.4418605,625.7142857,967.4287245,1987.5,4937,607.1772152,1333.560805,11872,9759,7137.2,6161.6,5945,4391,6898,8795
4,144.7571429,234.196308,299.596206,393.2302158,530.7692308,755.5260371,1258.333333,4937,562.1566265,1108.160834,9032.305344,9759,7137.2,6161.6,5945,4391,6898,8795
6,133.4413793,211.6113744,267.688946,345.4295302,453.4883721,607.2100525,893.75,4937,521.2758621,941.1924822,3497.377644,9759,7137.2,6161.6,5945,4391,6898,8795
8,122.88,190.8921933,238.9022005,303.6415094,389.3617021,497.5936073,675,1570.333333,483.989011,812.541595,2131.887006,9759,7137.2,6161.6,5945,4391,6898,8795
10,113,171.8167394,212.7995338,266.7988166,335.2941176,413.2781304,529.1666667,897,449.8421053,710.3757077,1513.586867,9759,7137.2,6161.6,5945,4391,6898,8795
12,103.7375,154.1968714,189.0222717,234.0726257,289.0909091,346.4102431,425,608.4285714,418.4545455,627.2795147,1160.936627,4703.634146,7137.2,6161.6,5945,4391,6898,8795
14,95.03636364,137.8721058,167.2729211,204.8095238,249.1525424,292.0820441,346.875,448.1111111,389.5048544,558.3696116,933.0079576,2326.037037,7137.2,6161.6,5945,4391,6898,8795
16,86.84705882,122.7047146,147.3026585,178.4874372,214.2857143,247.0685812,286.1111111,346.0909091,362.7196262,500.2988596,773.5777611,1520.404959,7137.2,6161.6,5945,4391,6898,8795
18,79.12571429,108.5758302,128.9017682,154.6842105,183.5820896,209.1634426,237.5,275.4615385,337.8648649,450.6963179,655.801437,1115.086957,6481.745455,6161.6,5945,4391,6898,8795
20,71.83333333,95.38232373,111.8922495,133.0547945,156.3380282,176.8060739,197.7272727,223.6666667,314.7391304,407.835542,565.2409012,871.0895522,2253.006452,6161.6,5945,4391,6898,8795
22,64.93513514,83.03428388,96.12204007,113.3144105,132,148.8615752,164.5833333,184.0588235,293.1680672,370.4295259,493.4396686,708.0871369,1340.92549,4384.457143,5945,4391,6898,8795
24,58.4,71.45296492,81.46045694,95.22594142,110.1265823,124.4848388,136.5384615,152.7894737,273,337.4992522,435.115908,591.4911032,942.6929577,1771.011765,5945,4391,6898,8795
26,52.2,60.56910569,67.79456706,78.59036145,90.36144578,103.0336034,112.5,127.4761905,254.1023622,308.2867626,386.8005148,503.953271,719.5076923,1093.451852,3117.105263,4391,6898,8795
28,47.8,50.32154341,55.02627258,63.23938224,72.4137931,84.01103878,91.66666667,106.5652174,236.3587786,282.1960994,346.1209008,435.8144044,576.7495495,782.1405405,1505.769231,4391,6898,8795
30,47.8,47.8,47.8,49.02973978,56.04395604,67.02678811,73.4375,89,219.6666667,258.7522191,311.3994874,381.2693267,477.5816794,603.3021277,986.8644068,4391,6898,8795
32,47.8,47.8,47.8,47.8,47.8,51.76989575,57.35294118,74.03703704,203.9352518,237.5718079,281.4165814,336.6190476,404.6834437,487.2140351,730.6962025,4391,3478,3559.4
34,47.8,47.8,47.8,47.8,47.8,47.8,47.8,61.13793103,189.0839161,218.3421598,255.2641329,299.3950104,348.8374269,405.7791045,578.030303,1726.384615,1768,2008.111111
36,47.8,47.8,47.8,47.8,47.8,47.8,47.8,49.90322581,175.0408163,200.805635,232.2521765,267.8867562,304.686911,345.4961039,476.6806723,1002.304348,1198,1411.461538
38,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,161.7417219,184.7480498,211.8470688,240.8716578,268.9061611,299.0712644,404.4964029,717.0606061,913,1095.588235
40,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,149.1290323,169.9898847,193.6295899,217.452579,239.3212121,262.2185567,350.4716981,564.4883721,742,900.047619
